repair_id,bic_id_repair,user_id_repair,report_date,op_id_repair,STATION_id_repair,repair_date,repair_status
8000061,5000388,1000814,2021/01/10 06:44:54,3000029,4000005,2021-02-08 11:47:04,1
8000062,5000804,1000132,2020/12/27 04:36:01,3000046,4000082,2020-12-10 11:26:32,1
8000063,5000439,1000884,2021/02/01 17:39:59,3000013,4000059,2021-02-22 17:41:09,1
8000064,5000370,1000282,2021/02/11 22:39:39,3000039,4000077,2021-02-20 19:47:49,1
8000065,5000750,1000795,2021/01/04 03:09:09,3000025,4000012,2021-01-15 03:42:14,1
8000066,5000918,1000651,2021/01/22 18:30:59,3000022,4000060,2021-02-22 20:14:47,1
8000067,5000167,1000143,2021/01/06 14:16:03,3000024,4000073,2020-12-23 11:19:07,1
8000068,5000948,1000018,2021/01/25 21:58:47,3000039,4000086,2020-12-30 22:40:06,1
8000069,5000613,1000114,2021/01/25 00:34:27,3000008,4000051,2021-01-12 21:30:16,1
8000070,5000873,1000207,2021/01/13 17:48:19,3000040,4000024,2020-12-15 04:04:45,1
8000071,5000391,1000653,2021/02/09 15:04:51,3000000,4000090,2020-12-16 12:02:35,1
8000072,5000620,1000958,2021/02/10 07:57:17,3000019,4000055,2021-01-27 00:02:24,1
8000073,5000281,1000502,2020/12/15 22:19:35,3000014,4000099,2021-02-11 21:18:51,1
8000074,5000754,1000874,2021/02/11 04:34:21,3000036,4000001,2021-01-25 07:44:46,1
8000075,5000543,1000330,2021/01/24 07:18:18,3000009,4000002,2021-01-04 05:25:23,1
8000076,5000123,1000522,2021/02/16 18:09:00,3000039,4000043,2021-02-01 17:03:01,1
8000077,5000004,1000235,2020/12/04 20:49:54,3000022,4000062,2021-01-21 21:21:49,1
8000078,5000803,1000870,2021/02/12 08:59:49,3000026,4000036,2020-12-06 02:12:44,1
8000079,5000810,1000847,2021/01/19 19:45:27,3000026,4000036,2020-12-14 23:54:27,1
8000080,5000160,1000470,2020/12/12 16:42:12,3000039,4000043,2021-01-12 00:39:47,1
8000081,5000880,1000114,2020/12/29 15:57:01,3000010,4000027,2021-01-04 15:36:47,1
8000082,5000888,1000574,2021/01/02 14:57:46,3000038,4000053,2021-02-13 18:19:13,1
8000083,5000680,1000676,2021/02/18 22:20:32,3000014,4000099,2020-12-20 06:44:11,1
8000084,5000544,1000987,2021/02/12 12:17:11,3000008,4000051,2020-12-27 22:08:41,1
8000085,5000202,1000684,2021/02/15 13:05:05,3000003,4000000,2021-01-21 03:40:30,1
8000086,5000231,1000080,2021/02/11 14:09:33,3000005,4000018,2021-01-25 20:12:47,1
8000087,5000857,1000432,2021/02/01 20:15:52,3000035,4000069,2021-02-18 08:44:25,1
8000088,5000535,1000718,2021/01/11 01:49:44,3000025,4000088,2021-01-25 04:42:17,1
8000089,5000775,1000490,2020/12/25 19:24:28,3000016,4000017,2021-02-22 20:07:31,1
8000090,5000350,1000131,2021/01/17 20:45:46,3000001,4000028,2020-12-29 03:32:35,1
8000091,5000078,1000182,2021/01/19 02:08:33,3000023,4000061,2021-02-05 10:01:07,1
8000092,5000343,1000174,2021/02/15 05:00:54,3000025,4000088,2021-02-10 17:18:37,1
8000093,5000312,1000205,2021/02/09 01:40:27,3000039,4000089,2020-12-13 15:58:46,1
8000094,5000140,1000158,2020/12/29 12:41:00,3000036,4000001,2020-12-27 05:23:41,1
8000095,5000890,1000544,2021/01/23 00:53:19,3000026,4000006,2021-01-08 07:40:54,1
8000096,5000405,1000307,2021/02/10 22:41:18,3000005,4000021,2021-01-07 10:26:58,1
8000097,5000406,1000928,2021/01/05 07:11:18,3000003,4000083,2021-02-03 03:23:33,1
8000098,5000769,1000396,2020/12/24 16:02:39,3000025,4000081,2021-01-01 18:13:20,1
8000099,5000478,1000703,2020/12/15 22:24:00,3000040,4000024,2021-02-03 02:09:00,1
8000100,5000464,1000516,2020/12/12 22:15:42,3000016,4000017,2020-12-30 22:02:15,1
8000101,5000688,1000458,2021/01/03 18:35:14,3000000,4000034,2020-12-06 05:16:19,1
8000102,5000286,1000436,2020/12/31 00:43:31,3000008,4000087,2021-01-28 21:15:17,1
8000103,5000236,1000186,2021/01/04 14:14:24,3000010,4000027,2021-02-09 02:15:15,1
8000104,5000667,1000814,2021/01/14 02:08:32,3000021,4000066,2021-02-10 03:59:57,1
8000105,5000422,1000987,2020/12/28 03:01:36,3000008,4000087,2021-01-01 11:46:36,1
8000106,5000647,1000240,2021/01/09 05:53:45,3000029,4000025,2020-12-04 18:43:14,1
8000107,5000912,1000029,2021/02/20 06:14:02,3000029,4000029,2021-01-04 20:42:11,1
8000108,5000587,1000680,2021/01/14 20:56:04,3000040,4000041,2021-01-24 08:40:40,1
8000109,5000914,1000391,2020/12/26 01:22:34,3000008,4000051,2020-12-04 13:26:37,1
8000110,5000520,1000434,2021/01/14 06:24:00,3000024,4000068,2021-02-16 14:36:07,1
8000111,5000758,1000749,2021/02/19 19:51:13,3000020,4000016,2021-01-26 13:08:23,1
8000112,5000193,1000556,2021/01/04 08:40:14,3000015,4000063,2021-02-13 01:05:48,1
8000113,5000439,1000922,2021/01/28 06:15:12,3000013,4000059,2021-01-01 04:19:46,1
8000114,5000302,1000550,2020/12/24 14:50:28,3000040,4000024,2021-01-26 04:34:03,1
8000115,5000627,1000207,2021/01/13 18:18:31,3000032,4000074,2020-12-13 03:29:45,1
8000116,5000592,1000925,2021/02/16 11:00:43,3000015,4000037,2020-12-03 13:00:36,1
8000117,5000987,1000878,2021/02/14 11:00:26,3000032,4000074,2021-02-16 05:24:23,1
8000118,5000179,1000112,2020/12/08 23:02:42,3000008,4000087,2020-12-30 17:38:39,1
8000119,5000351,1000351,2020/12/20 12:21:16,3000002,4000039,2021-01-22 21:04:36,1
8000120,5000375,1000805,2020/12/16 15:45:29,3000013,4000059,2020-12-14 18:59:43,1
8000121,5000200,1000939,2020/12/12 14:20:39,3000014,4000099,2020-12-13 01:31:53,1
8000122,5000941,1000184,2020/12/30 06:47:28,3000038,4000067,2021-01-29 11:08:27,1
8000123,5000096,1000824,2021/01/01 15:35:46,3000011,4000009,2021-02-02 14:08:32,1
8000124,5000810,1000139,2021/01/26 07:57:36,3000026,4000036,2021-01-27 21:47:02,1
8000125,5000908,1000168,2021/02/06 18:57:09,3000001,4000028,2021-01-24 23:47:25,1
8000126,5000951,1000825,2021/02/11 14:38:41,3000024,4000073,2021-01-06 09:01:14,1
8000127,5000476,1000920,2021/01/30 00:13:33,3000039,4000043,2021-01-12 02:50:04,1
8000128,5000304,1000695,2020/12/09 14:31:47,3000037,4000019,2021-02-02 09:31:54,1
8000129,5000327,1000133,2020/12/27 15:53:14,3000009,4000030,2021-01-19 07:02:43,1
8000130,5000543,1000241,2020/12/16 09:52:13,3000009,4000002,2021-01-21 07:51:35,1
8000131,5000177,1000775,2021/02/17 23:45:40,3000031,4000085,2021-02-18 00:56:35,1
8000132,5000867,1000547,2020/12/01 02:21:02,3000018,4000064,2020-12-24 16:50:31,1
8000133,5000741,1000511,2021/01/27 07:29:08,3000002,4000056,2021-02-22 08:58:08,1
8000134,5000981,1000976,2020/12/28 08:19:17,3000008,4000087,2021-01-11 10:11:08,1
8000135,5000923,1000963,2021/01/02 02:29:25,3000038,4000046,2021-01-16 00:37:49,1
8000136,5000600,1000339,2020/12/29 22:38:21,3000037,4000058,2021-01-17 04:20:40,1
8000137,5000675,1000073,2021/01/12 15:15:02,3000039,4000043,2020-12-21 23:20:10,1
8000138,5000232,1000844,2020/12/15 01:54:20,3000032,4000047,2020-12-26 00:20:11,1
8000139,5000906,1000275,2021/01/07 03:54:03,3000040,4000041,2020-12-29 06:09:50,1
8000140,5000115,1000715,2021/01/06 13:48:47,3000014,4000023,2021-02-15 09:16:44,1
8000141,5000014,1000605,2020/12/17 21:25:42,3000008,4000051,,0
8000142,5000554,1000889,2021/01/23 04:38:21,3000015,4000032,2021-01-24 21:21:28,1
8000143,5000918,1000496,2021/01/26 23:22:40,3000022,4000060,2021-02-19 07:10:14,1
8000144,5000189,1000568,2020/12/10 10:19:07,3000005,4000021,2020-12-15 07:12:04,1
8000145,5000400,1000619,2021/01/27 19:38:05,3000009,4000030,2020-12-16 06:08:16,1
8000146,5000018,1000838,2021/01/04 12:42:56,3000026,4000097,,0
8000147,5000997,1000027,2021/02/16 03:34:33,3000035,4000069,2021-01-22 06:08:32,1
8000148,5000162,1000519,2021/01/30 09:58:19,3000022,4000062,2021-01-24 04:59:52,1
8000149,5000243,1000808,2020/12/12 18:37:53,3000036,4000001,2020-12-19 15:11:55,1
8000150,5000484,1000983,2020/12/19 04:10:58,3000031,4000072,2020-12-04 05:12:13,1
8000151,5000601,1000550,2021/01/22 15:49:23,3000046,4000082,2021-01-08 09:39:42,1
8000152,5000697,1000860,2021/01/13 08:13:53,3000021,4000066,2021-01-05 21:13:45,1
8000153,5000083,1000216,2021/02/13 11:09:53,3000032,4000075,2021-02-04 16:32:32,1
8000154,5000891,1000142,2021/02/10 06:00:42,3000032,4000047,2021-01-19 15:29:12,1
8000155,5000154,1000806,2020/12/04 16:55:34,3000026,4000006,2021-02-08 00:07:13,1
8000156,5000483,1000528,2020/12/05 06:03:23,3000022,4000062,2020-12-26 22:14:19,1
8000157,5000560,1000335,2021/02/16 05:44:26,3000020,4000016,2021-01-17 23:13:38,1
8000158,5000435,1000921,2021/02/15 03:41:19,3000020,4000016,2021-02-18 23:22:32,1
8000159,5000518,1000658,2021/01/10 21:32:05,3000039,4000086,2021-02-20 23:01:56,1
8000160,5000505,1000766,2020/12/01 16:35:12,3000002,4000056,2020-12-28 13:35:16,1
8000161,5000745,1000716,2021/01/25 13:54:16,3000048,4000091,2021-02-02 01:28:31,1
8000162,5000179,1000443,2021/02/02 20:24:13,3000008,4000087,2021-02-16 17:47:02,1
8000163,5000751,1000982,2021/01/06 10:21:03,3000040,4000024,2020-12-27 21:32:24,1
8000164,5000965,1000312,2021/02/02 22:22:48,3000010,4000027,2021-01-17 08:55:28,1
8000165,5000943,1000138,2021/01/18 07:54:20,3000043,4000007,2021-01-15 16:59:12,1
8000166,5000146,1000396,2020/12/18 20:30:38,3000028,4000004,2021-01-19 08:30:25,1
8000167,5000129,1000050,2021/01/25 22:32:16,3000029,4000005,2020-12-11 04:06:20,1
8000168,5000264,1000140,2020/12/20 05:10:21,3000002,4000039,2020-12-19 04:31:19,1
8000169,5000744,1000289,2021/01/02 02:33:59,3000024,4000068,2021-01-29 08:01:41,1
8000170,5000780,1000041,2020/12/13 08:43:26,3000008,4000038,2021-01-29 15:45:09,1
8000171,5000231,1000149,2020/12/02 23:27:26,3000005,4000018,2021-02-11 22:40:06,1
8000172,5000970,1000511,2021/02/05 21:46:07,3000044,4000040,2020-12-04 16:23:45,1
8000173,5000823,1000059,2021/02/10 21:31:36,3000009,4000030,2021-01-17 18:04:05,1
8000174,5000746,1000271,2021/01/11 14:25:48,3000040,4000093,2020-12-22 05:30:14,1
8000175,5000731,1000653,2020/12/02 22:09:46,3000048,4000091,2021-01-29 12:21:24,1
8000176,5000423,1000821,2020/12/15 05:27:34,3000020,4000016,2021-01-21 07:29:28,1
8000177,5000774,1000274,2020/12/23 08:25:52,3000013,4000059,2021-02-11 05:25:18,1
8000178,5000771,1000543,2020/12/26 14:01:12,3000027,4000011,2021-01-26 11:45:58,1
8000179,5000096,1000586,2020/12/01 17:06:45,3000011,4000009,2021-01-08 10:06:25,1
8000180,5000117,1000950,2021/02/16 10:25:12,3000019,4000055,2021-02-21 10:58:28,1
8000181,5000877,1000984,2020/12/24 00:53:41,3000040,4000024,2021-02-08 09:12:33,1
8000182,5000931,1000425,2021/01/25 20:38:15,3000039,4000089,2021-01-30 19:14:52,1
8000183,5000809,1000507,2020/12/12 06:11:30,3000015,4000063,2021-02-13 07:54:14,1
8000184,5000239,1000490,2021/01/06 23:49:03,3000005,4000018,2021-02-14 03:20:55,1
8000185,5000629,1000341,2020/12/15 09:49:44,3000040,4000093,2020-12-16 17:38:51,1
8000186,5000873,1000458,2020/12/25 10:01:59,3000040,4000024,2021-01-10 08:16:44,1
8000187,5000720,1000830,2021/02/10 10:33:19,3000029,4000025,2021-01-09 22:07:08,1
8000188,5000076,1000118,2020/12/09 07:20:25,3000037,4000058,2020-12-30 20:13:45,1
8000189,5000183,1000357,2020/12/11 04:23:01,3000002,4000039,2020-12-06 14:56:13,1
8000190,5000230,1000310,2021/01/26 07:03:11,3000009,4000030,2021-02-02 13:25:43,1
8000191,5000602,1000968,2020/12/15 06:43:21,3000040,4000093,2020-12-26 11:56:15,1
8000192,5000304,1000174,2021/01/18 02:32:42,3000037,4000019,2021-02-06 16:25:18,1
8000193,5000169,1000258,2020/12/03 08:48:13,3000040,4000093,2020-12-06 09:25:25,1
8000194,5000776,1000683,2020/12/30 00:58:14,3000021,4000035,2020-12-04 13:55:10,1
8000195,5000109,1000164,2021/01/21 15:39:50,3000031,4000072,2021-01-04 14:09:47,1
8000196,5000526,1000796,2021/01/24 03:53:17,3000037,4000092,2020-12-19 06:30:46,1
8000197,5000360,1000789,2020/12/22 21:26:48,3000010,4000042,2021-01-06 00:03:53,1
8000198,5000464,1000703,2020/12/22 06:44:33,3000016,4000017,2021-01-02 09:06:40,1
8000199,5000281,1000206,2021/01/22 03:53:21,3000014,4000099,2021-02-04 03:10:48,1
8000200,5000232,1000938,2020/12/07 17:01:59,3000032,4000047,2021-02-11 17:17:52,1
8000201,5000401,1000319,2021/02/06 20:25:49,3000041,4000008,2020-12-28 14:53:34,1
8000202,5000398,1000348,2021/02/07 23:23:15,3000011,4000009,2020-12-04 13:24:25,1
8000203,5000317,1000246,2020/12/15 21:35:53,3000044,4000040,2020-12-10 02:23:43,1
8000204,5000658,1000738,2021/01/06 17:43:13,3000026,4000097,2021-01-24 02:32:51,1
8000205,5000488,1000053,2020/12/27 00:47:14,3000024,4000073,2021-01-27 01:56:27,1
8000206,5000571,1000879,2020/12/13 08:24:00,3000013,4000059,2021-02-17 17:07:00,1
8000207,5000054,1000626,2020/12/14 20:21:08,3000032,4000075,2020-12-21 00:16:38,1
8000208,5000710,1000371,2021/01/09 20:29:02,3000032,4000014,2021-01-16 00:05:06,1
8000209,5000635,1000334,2021/02/20 08:21:26,3000002,4000039,2021-01-21 07:17:31,1
8000210,5000227,1000867,2021/01/05 06:20:16,3000006,4000031,2020-12-09 00:27:22,1
8000211,5000455,1000216,2020/12/22 15:04:06,3000031,4000085,2021-01-24 11:46:01,1
8000212,5000111,1000688,2020/12/13 10:01:45,3000029,4000080,2021-01-27 15:30:20,1
8000213,5000397,1000078,2021/02/15 18:24:32,3000000,4000090,2021-02-20 01:08:58,1
8000214,5000420,1000854,2021/02/08 05:33:56,3000009,4000030,2020-12-30 03:47:54,1
8000215,5000666,1000004,2021/02/03 20:39:33,3000014,4000023,2020-12-17 19:06:47,1
8000216,5000277,1000450,2021/01/19 09:11:04,3000005,4000021,2020-12-16 01:15:37,1
8000217,5000531,1000195,2021/01/04 14:27:57,3000044,4000040,2020-12-14 13:24:18,1
8000218,5000170,1000074,2020/12/07 21:56:54,3000022,4000062,2021-02-12 07:23:12,1
8000219,5000211,1000649,2021/02/11 16:09:02,3000038,4000067,2021-01-17 20:08:03,1
8000220,5000281,1000618,2021/01/09 14:45:08,3000014,4000099,2021-01-12 09:10:12,1
8000221,5000193,1000026,2021/01/06 07:55:48,3000015,4000063,2020-12-06 16:34:23,1
8000222,5000099,1000994,2021/01/11 21:37:01,3000029,4000015,2020-12-14 22:51:12,1
8000223,5000950,1000829,2020/12/14 16:58:14,3000032,4000075,2021-02-18 04:25:15,1
8000224,5000827,1000150,2021/02/19 00:10:15,3000026,4000097,2021-02-12 01:17:33,1
8000225,5000162,1000586,2020/12/13 13:31:57,3000022,4000062,2020-12-26 07:10:37,1
8000226,5000714,1000811,2021/01/25 12:29:12,3000037,4000094,2021-01-02 14:47:05,1
8000227,5000844,1000256,2021/01/29 10:06:46,3000006,4000031,2021-01-28 10:34:02,1
8000228,5000908,1000582,2021/01/11 17:02:44,3000001,4000028,2021-01-22 19:34:39,1
8000229,5000821,1000092,2021/01/23 23:12:51,3000025,4000049,2021-02-19 20:14:21,1
8000230,5000674,1000097,2020/12/25 20:01:08,3000018,4000064,2021-02-14 13:15:26,1
8000231,5000623,1000355,2021/01/04 12:00:35,3000010,4000071,2020-12-07 12:38:34,1
8000232,5000491,1000416,2021/02/06 03:11:09,3000000,4000090,2021-02-07 00:27:05,1
8000233,5000471,1000484,2020/12/25 12:01:55,3000035,4000013,2020-12-04 12:55:28,1
8000234,5000338,1000618,2021/01/15 07:27:58,3000003,4000083,2020-12-28 15:51:51,1
8000235,5000479,1000375,2020/12/03 20:26:35,3000039,4000043,2021-01-08 08:47:19,1
8000236,5000936,1000624,2021/02/12 13:53:33,3000032,4000014,2020-12-28 04:41:55,1
8000237,5000195,1000577,2020/12/31 21:12:20,3000008,4000038,2021-02-04 05:33:54,1
8000238,5000688,1000476,2021/01/04 08:45:46,3000000,4000034,2020-12-07 09:47:40,1
8000239,5000756,1000479,2021/01/03 17:56:42,3000035,4000070,2021-01-20 08:36:42,1
8000240,5000718,1000460,2021/01/04 03:33:57,3000009,4000002,2021-02-14 07:52:33,1
8000241,5000352,1000050,2020/12/23 16:52:57,3000024,4000065,2021-01-12 09:41:34,1
8000242,5000643,1000502,2021/02/01 16:04:49,3000010,4000027,2021-02-04 06:51:03,1
8000243,5000732,1000370,2021/01/30 12:23:03,3000013,4000059,2020-12-21 23:59:11,1
8000244,5000072,1000751,2021/02/09 17:05:28,3000043,4000007,2021-02-20 04:58:54,1
8000245,5000779,1000560,2021/02/05 04:21:08,3000029,4000005,2020-12-25 13:40:20,1
8000246,5000432,1000050,2021/02/08 14:17:53,3000041,4000008,2021-02-17 17:46:52,1
8000247,5000117,1000044,2020/12/20 02:52:09,3000019,4000055,2021-01-29 21:17:57,1
8000248,5000645,1000591,2021/01/31 14:08:58,3000008,4000087,2020-12-23 05:58:13,1
8000249,5000801,1000609,2021/02/12 10:18:35,3000000,4000034,2020-12-14 22:27:53,1
8000250,5000953,1000620,2021/01/24 07:03:46,3000046,4000082,2020-12-24 13:54:34,1
8000251,5000082,1000562,2020/12/30 02:54:15,3000013,4000059,2021-02-10 16:58:18,1
8000252,5000013,1000279,2020/12/20 09:18:02,3000022,4000062,,0
8000253,5000660,1000598,2021/02/11 16:16:55,3000040,4000093,2021-02-08 23:52:21,1
8000254,5000523,1000911,2021/01/09 18:11:54,3000038,4000053,2021-02-13 01:18:10,1
8000255,5000310,1000089,2021/01/12 08:33:48,3000037,4000019,2021-02-11 16:27:38,1
8000256,5000831,1000872,2021/01/13 04:00:39,3000022,4000060,2021-01-31 12:55:19,1
8000257,5000668,1000732,2021/01/31 10:11:38,3000000,4000034,2021-01-17 10:48:07,1
8000258,5000456,1000086,2020/12/18 00:32:13,3000019,4000055,2021-01-12 08:26:44,1
8000259,5000542,1000096,2021/01/29 12:31:34,3000020,4000016,2020-12-28 14:43:52,1
8000260,5000575,1000613,2021/02/20 16:26:07,3000038,4000053,2021-01-13 17:16:05,1
8000261,5000057,1000476,2021/02/03 12:10:06,3000044,4000010,2021-02-09 09:22:43,1
8000262,5000205,1000977,2021/01/13 00:04:26,3000039,4000077,2020-12-27 11:13:01,1
8000263,5000639,1000196,2021/02/09 22:51:36,3000032,4000074,2021-01-22 15:02:43,1
8000264,5000443,1000034,2020/12/26 19:14:24,3000015,4000032,2021-01-19 12:28:31,1
8000265,5000438,1000175,2020/12/16 18:17:28,3000027,4000011,2020-12-18 05:42:51,1
8000266,5000248,1000969,2021/01/12 01:40:16,3000014,4000099,2021-01-07 00:27:16,1
8000267,5000765,1000071,2021/02/05 22:48:39,3000016,4000057,2020-12-27 08:15:46,1
8000268,5000796,1000247,2021/02/07 02:00:15,3000014,4000099,2020-12-24 01:17:38,1
8000269,5000146,1000207,2021/02/11 07:21:49,3000028,4000004,2020-12-29 06:11:46,1
8000270,5000296,1000671,2021/01/15 19:10:31,3000014,4000023,2021-02-20 12:33:42,1
8000271,5000911,1000097,2020/12/30 21:11:40,3000008,4000087,2020-12-15 00:23:14,1
8000272,5000832,1000286,2020/12/03 11:15:42,3000024,4000068,2021-02-17 22:10:38,1
8000273,5000653,1000835,2020/12/16 09:55:21,3000000,4000033,2021-02-19 12:01:09,1
8000274,5000553,1000097,2020/12/31 20:21:07,3000024,4000073,2021-01-16 02:55:55,1
8000275,5000125,1000514,2021/01/22 09:24:57,3000006,4000076,2020-12-01 14:06:53,1
8000276,5000814,1000128,2021/02/01 22:46:23,3000015,4000037,2021-01-14 19:05:17,1
8000277,5000991,1000956,2020/12/24 05:37:08,3000038,4000046,2020-12-29 20:50:29,1
8000278,5000247,1000576,2020/12/12 09:16:17,3000043,4000007,2020-12-23 17:25:34,1
8000279,5000579,1000359,2021/02/07 19:33:17,3000027,4000011,2020-12-16 17:10:25,1
8000280,5000235,1000398,2021/01/27 07:11:28,3000008,4000087,2021-02-14 11:23:52,1
8000281,5000066,1000501,2020/12/25 12:26:16,3000029,4000015,2021-02-02 10:48:37,1
8000282,5000707,1000768,2020/12/29 15:37:45,3000032,4000047,2020-12-18 13:26:03,1
8000283,5000527,1000009,2021/01/09 19:14:01,3000036,4000050,2021-01-18 22:25:35,1
8000284,5000847,1000980,2021/01/21 17:23:55,3000022,4000060,2021-02-16 05:53:20,1
8000285,5000747,1000608,2021/01/01 02:16:40,3000041,4000008,2020-12-04 21:42:43,1
8000286,5000683,1000622,2020/12/02 04:32:36,3000031,4000072,2021-02-11 19:07:15,1
8000287,5000663,1000712,2021/01/30 19:49:10,3000025,4000081,2020-12-10 07:08:44,1
8000288,5000109,1000879,2021/01/05 18:43:01,3000031,4000072,2020-12-23 19:40:29,1
8000289,5000486,1000419,2021/02/04 21:00:59,3000006,4000076,2021-01-02 23:23:56,1
